version,1.7.0
info,balls_per_over,6
info,team,Nangarhar Leopards
info,team,Kabul Zwanan
info,gender,male
info,season,2018/19
info,date,2018/10/09
info,event,Afghanistan Premier League
info,match_number,6
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Kabul Zwanan
info,toss_decision,field
info,player_of_match,Hazratullah
info,umpire,Ahmed Shah Pakteen
info,umpire,AK Chaudhary
info,reserve_umpire,Ahmed Shah Durrani
info,tv_umpire,Bismillah Shinwari
info,match_referee,DT Jukes
info,winner,Kabul Zwanan
info,winner_wickets,7
info,player,Nangarhar Leopards,AP Devcich
info,player,Nangarhar Leopards,Najeeb Tarakai
info,player,Nangarhar Leopards,Hashmatullah Shahidi
info,player,Nangarhar Leopards,AD Russell
info,player,Nangarhar Leopards,BCJ Cutting
info,player,Nangarhar Leopards,Shafiqullah
info,player,Nangarhar Leopards,Rahmat Shah
info,player,Nangarhar Leopards,MJ McClenaghan
info,player,Nangarhar Leopards,Mujeeb Ur Rahman
info,player,Nangarhar Leopards,Naveen-ul-Haq
info,player,Nangarhar Leopards,Zahir Khan
info,player,Kabul Zwanan,Hazratullah
info,player,Kabul Zwanan,L Ronchi
info,player,Kabul Zwanan,Javed Ahmadi
info,player,Kabul Zwanan,CA Ingram
info,player,Kabul Zwanan,LJ Evans
info,player,Kabul Zwanan,Shahidullah
info,player,Kabul Zwanan,Rashid Khan
info,player,Kabul Zwanan,WD Parnell
info,player,Kabul Zwanan,Zahir Shehzad
info,player,Kabul Zwanan,Fareed Ahmad
info,player,Kabul Zwanan,Nijat Masood
info,registry,people,AD Russell,bbd41817
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AP Devcich,ed90abe4
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,BCJ Cutting,2e11c706
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,CA Ingram,c995d726
info,registry,people,DT Jukes,7c215d14
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Hashmatullah Shahidi,c2a46cb4
info,registry,people,Hazratullah,5ea51c25
info,registry,people,Javed Ahmadi,0087a35d
info,registry,people,L Ronchi,0fa5042b
info,registry,people,LJ Evans,1c513d54
info,registry,people,MJ McClenaghan,51a3c5ef
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Najeeb Tarakai,2683e28b
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Nijat Masood,a1bf281e
info,registry,people,Rahmat Shah,f9c29fcd
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Shafiqullah,ba4d600a
info,registry,people,Shahidullah,82b90140
info,registry,people,WD Parnell,3a60e0b5
info,registry,people,Zahir Khan,786b7fe8
info,registry,people,Zahir Shehzad,1fa08c73
ball,1,0.1,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,0,4,,,,4,,"",""
ball,1,0.2,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,0,5,5,,,,,"",""
ball,1,0.3,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,1,0,,,,,,"",""
ball,1,0.4,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,WD Parnell,0,0,,,,,,"",""
ball,1,0.5,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,WD Parnell,1,0,,,,,,"",""
ball,1,0.6,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,1,0,,,,,,"",""
ball,1,0.7,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,WD Parnell,0,0,,,,,,"",""
ball,1,1.1,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,Fareed Ahmad,1,0,,,,,,"",""
ball,1,1.2,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,Fareed Ahmad,4,0,,,,,,"",""
ball,1,1.3,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,Fareed Ahmad,0,0,,,,,,"",""
ball,1,1.4,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,Fareed Ahmad,0,0,,,,,,"",""
ball,1,1.5,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,Fareed Ahmad,0,0,,,,,,"",""
ball,1,1.6,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,Fareed Ahmad,4,0,,,,,,"",""
ball,1,2.1,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,0,4,,,,4,,"",""
ball,1,2.2,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,2,0,,,,,,"",""
ball,1,2.3,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,0,0,,,,,,"",""
ball,1,2.4,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,4,0,,,,,,"",""
ball,1,2.5,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,0,0,,,,,,"",""
ball,1,2.6,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,WD Parnell,0,0,,,,,,"",""
ball,1,3.1,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,Nijat Masood,0,0,,,,,,"",""
ball,1,3.2,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,Nijat Masood,0,0,,,,,,"",""
ball,1,3.3,Nangarhar Leopards,Najeeb Tarakai,AP Devcich,Nijat Masood,1,1,,1,,,,"",""
ball,1,3.4,Nangarhar Leopards,AP Devcich,Najeeb Tarakai,Nijat Masood,1,0,,,,,,"",""
