version,1.7.0
info,balls_per_over,6
info,team,Balkh Legends
info,team,Nangarhar Leopards
info,gender,male
info,season,2018/19
info,date,2018/10/11
info,event,Afghanistan Premier League
info,match_number,9
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Nangarhar Leopards
info,toss_decision,field
info,player_of_match,Mirwais Ashraf
info,umpire,AK Chaudhary
info,umpire,Bismillah Shinwari
info,reserve_umpire,Ahmed Shah Durrani
info,tv_umpire,Izatullah Safi
info,match_referee,DT Jukes
info,winner,Balkh Legends
info,winner_runs,25
info,player,Balkh Legends,CH Gayle
info,player,Balkh Legends,Usman Ghani
info,player,Balkh Legends,C Munro
info,player,Balkh Legends,RN ten Doeschate
info,player,Balkh Legends,RS Bopara
info,player,Balkh Legends,Ikram Alikhil
info,player,Balkh Legends,Mohammad Nabi
info,player,Balkh Legends,Gulbadin Naib
info,player,Balkh Legends,Mirwais Ashraf
info,player,Balkh Legends,Qais Ahmad
info,player,Balkh Legends,Aftab Alam
info,player,Nangarhar Leopards,Najeeb Tarakai
info,player,Nangarhar Leopards,AP Devcich
info,player,Nangarhar Leopards,J Charles
info,player,Nangarhar Leopards,Hashmatullah Shahidi
info,player,Nangarhar Leopards,Rahmat Shah
info,player,Nangarhar Leopards,Shafiqullah
info,player,Nangarhar Leopards,BCJ Cutting
info,player,Nangarhar Leopards,MJ McClenaghan
info,player,Nangarhar Leopards,Naveen-ul-Haq
info,player,Nangarhar Leopards,Mujeeb Ur Rahman
info,player,Nangarhar Leopards,Zahir Khan
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AP Devcich,ed90abe4
info,registry,people,Aftab Alam,2a3a3786
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,BCJ Cutting,2e11c706
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,C Munro,af2c687b
info,registry,people,CH Gayle,db584dad
info,registry,people,DT Jukes,7c215d14
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Hashmatullah Shahidi,c2a46cb4
info,registry,people,Ikram Alikhil,f67c958d
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,J Charles,09a9d073
info,registry,people,MJ McClenaghan,51a3c5ef
info,registry,people,Mirwais Ashraf,bdd985f2
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Najeeb Tarakai,2683e28b
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Qais Ahmad,8d5d991e
info,registry,people,RN ten Doeschate,4ec07775
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,Rahmat Shah,f9c29fcd
info,registry,people,Shafiqullah,ba4d600a
info,registry,people,Usman Ghani,e3829b2a
info,registry,people,Zahir Khan,786b7fe8
ball,1,0.1,Balkh Legends,CH Gayle,Usman Ghani,MJ McClenaghan,1,0,,,,,,"",""
ball,1,0.2,Balkh Legends,Usman Ghani,CH Gayle,MJ McClenaghan,0,0,,,,,,"",""
ball,1,0.3,Balkh Legends,Usman Ghani,CH Gayle,MJ McClenaghan,0,0,,,,,,caught,Usman Ghani
ball,1,0.4,Balkh Legends,CH Gayle,C Munro,MJ McClenaghan,0,0,,,,,,"",""
ball,1,0.5,Balkh Legends,CH Gayle,C Munro,MJ McClenaghan,0,0,,,,,,"",""
ball,1,0.6,Balkh Legends,CH Gayle,C Munro,MJ McClenaghan,0,0,,,,,,"",""
ball,1,1.1,Balkh Legends,C Munro,CH Gayle,Naveen-ul-Haq,0,0,,,,,,"",""
ball,1,1.2,Balkh Legends,C Munro,CH Gayle,Naveen-ul-Haq,1,0,,,,,,"",""
ball,1,1.3,Balkh Legends,CH Gayle,C Munro,Naveen-ul-Haq,1,0,,,,,,"",""
ball,1,1.4,Balkh Legends,C Munro,CH Gayle,Naveen-ul-Haq,0,0,,,,,,"",""
ball,1,1.5,Balkh Legends,C Munro,CH Gayle,Naveen-ul-Haq,0,0,,,,,,"",""
ball,1,1.6,Balkh Legends,C Munro,CH Gayle,Naveen-ul-Haq,4,0,,,,,,"",""
ball,1,2.1,Balkh Legends,CH Gayle,C Munro,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,2.2,Balkh Legends,CH Gayle,C Munro,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,2.3,Balkh Legends,C Munro,CH Gayle,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,2.4,Balkh Legends,C Munro,CH Gayle,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,2.5,Balkh Legends,C Munro,CH Gayle,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,2.6,Balkh Legends,CH Gayle,C Munro,Mujeeb Ur Rahman,0,1,1,,,,,"",""
ball,1,2.7,Balkh Legends,CH Gayle,C Munro,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,3.1,Balkh Legends,C Munro,CH Gayle,MJ McClenaghan,0,0,,,,,,"",""
ball,1,3.2,Balkh Legends,C Munro,CH Gayle,MJ McClenaghan,6,0,,,,,,"",""
ball,1,3.3,Balkh Legends,C Munro,CH Gayle,MJ McClenaghan,4,0,,,,,,"",""
ball,1,3.4,Balkh Legends,C Munro,CH Gayle,MJ McClenaghan,4,0,,,,,,"",""
ball,1,3.5,Balkh Legends,C Munro,CH Gayle,MJ McClenaghan,0,0,,,,,,"",""
ball,1,3.6,Balkh Legends,C Munro,CH Gayle,MJ McClenaghan,0,0,,,,,,"",""
