version,1.6.0
info,balls_per_over,6
info,team,Afghanistan
info,team,United Arab Emirates
info,gender,male
info,season,2015/16
info,date,2016/02/19
info,event,Asia Cup
info,match_number,1
info,venue,Khan Shaheb Osman Ali Stadium
info,city,Fatullah
info,neutralvenue,true
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,umpire,Sarika Prasad
info,umpire,Sharfuddoula
info,reserve_umpire,BB Pradhan
info,match_referee,RB Richardson
info,winner,United Arab Emirates
info,winner_runs,16
info,player,Afghanistan,Mohammad Shahzad
info,player,Afghanistan,Usman Ghani
info,player,Afghanistan,Asghar Stanikzai
info,player,Afghanistan,Karim Sadiq
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Dawlat Zadran
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Shapoor Zadran
info,player,Afghanistan,Amir Hamza
info,player,United Arab Emirates,Rohan Mustafa
info,player,United Arab Emirates,Muhammad Kaleem
info,player,United Arab Emirates,Shaiman Anwar
info,player,United Arab Emirates,Amjad Javed
info,player,United Arab Emirates,Muhammad Usman
info,player,United Arab Emirates,Mohammad Shahzad (2)
info,player,United Arab Emirates,Usman Mushtaq
info,player,United Arab Emirates,Ahmed Raza
info,player,United Arab Emirates,SP Patil
info,player,United Arab Emirates,Farhan Ahmed
info,player,United Arab Emirates,Mohammad Naveed
info,registry,people,Ahmed Raza,79b4839e
info,registry,people,Amir Hamza,dca1ac2e
info,registry,people,Amjad Javed,18eaf2fa
info,registry,people,Asghar Stanikzai,88679525
info,registry,people,BB Pradhan,8603d942
info,registry,people,Dawlat Zadran,1fba2ae3
info,registry,people,Farhan Ahmed,927694f7
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Karim Sadiq,13e5908b
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammad Naveed,4861d29b
info,registry,people,Mohammad Shahzad,d6dcb0c9
info,registry,people,Mohammad Shahzad (2),4c7df2c8
info,registry,people,Muhammad Kaleem,ff86a0e1
info,registry,people,Muhammad Usman,45642393
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,RB Richardson,410e2f12
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Rohan Mustafa,d1988788
info,registry,people,SP Patil,f5c198fb
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shaiman Anwar,e9630504
info,registry,people,Shapoor Zadran,fccebff9
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Usman Ghani,e3829b2a
info,registry,people,Usman Mushtaq,0e5ccbb4
ball,1,0.1,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Dawlat Zadran,0,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Dawlat Zadran,2,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Dawlat Zadran,0,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Dawlat Zadran,1,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Dawlat Zadran,0,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Dawlat Zadran,0,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Shapoor Zadran,4,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Shapoor Zadran,1,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Shapoor Zadran,1,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Shapoor Zadran,0,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Shapoor Zadran,4,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Shapoor Zadran,1,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Dawlat Zadran,1,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Dawlat Zadran,4,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Dawlat Zadran,4,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Dawlat Zadran,0,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Dawlat Zadran,0,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Dawlat Zadran,4,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Mohammad Nabi,0,1,,,,1,,"",""
ball,1,3.2,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Mohammad Nabi,0,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Mohammad Nabi,1,0,,,,,,"",""
ball,1,3.4,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Mohammad Nabi,0,0,,,,,,"",""
ball,1,3.5,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Mohammad Nabi,4,0,,,,,,"",""
ball,1,3.6,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Mohammad Nabi,1,0,,,,,,"",""
ball,1,4.1,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Amir Hamza,6,0,,,,,,"",""
ball,1,4.2,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Amir Hamza,0,0,,,,,,"",""
ball,1,4.3,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Amir Hamza,4,0,,,,,,"",""
ball,1,4.4,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Amir Hamza,6,0,,,,,,"",""
ball,1,4.5,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Amir Hamza,0,0,,,,,,"",""
ball,1,4.6,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Amir Hamza,0,0,,,,,,"",""
ball,1,5.1,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Mohammad Nabi,1,0,,,,,,"",""
ball,1,5.2,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Mohammad Nabi,0,0,,,,,,"",""
ball,1,5.3,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Mohammad Nabi,4,0,,,,,,"",""
ball,1,5.4,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Mohammad Nabi,1,0,,,,,,"",""
ball,1,5.5,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Mohammad Nabi,2,0,,,,,,"",""
ball,1,5.6,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Mohammad Nabi,6,0,,,,,,"",""
ball,1,6.1,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Rashid Khan,0,0,,,,,,"",""
ball,1,6.2,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Rashid Khan,1,0,,,,,,"",""
ball,1,6.3,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Rashid Khan,1,0,,,,,,"",""
ball,1,6.4,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Rashid Khan,0,0,,,,,,"",""
ball,1,6.5,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Rashid Khan,0,0,,,,,,"",""
ball,1,6.6,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Rashid Khan,1,0,,,,,,"",""
ball,1,7.1,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Gulbadin Naib,1,0,,,,,,"",""
ball,1,7.2,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Gulbadin Naib,1,0,,,,,,"",""
ball,1,7.3,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Gulbadin Naib,1,0,,,,,,"",""
ball,1,7.4,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Gulbadin Naib,0,4,,,4,,,"",""
ball,1,7.5,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Gulbadin Naib,0,0,,,,,,"",""
ball,1,7.6,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Gulbadin Naib,0,0,,,,,,"",""
ball,1,8.1,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Rashid Khan,6,0,,,,,,"",""
ball,1,8.2,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Rashid Khan,0,0,,,,,,"",""
ball,1,8.3,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Rashid Khan,0,2,,,,2,,"",""
ball,1,8.4,United Arab Emirates,Rohan Mustafa,Muhammad Kaleem,Rashid Khan,1,0,,,,,,"",""
ball,1,8.5,United Arab Emirates,Muhammad Kaleem,Rohan Mustafa,Rashid Khan,0,0,,,,,,bowled,Muhammad Kaleem
ball,1,8.6,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Rashid Khan,1,0,,,,,,"",""
ball,1,9.1,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Gulbadin Naib,1,0,,,,,,"",""
ball,1,9.2,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Gulbadin Naib,4,0,,,,,,"",""
ball,1,9.3,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Gulbadin Naib,4,0,,,,,,"",""
ball,1,9.4,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Gulbadin Naib,1,0,,,,,,"",""
ball,1,9.5,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Gulbadin Naib,4,0,,,,,,"",""
ball,1,9.6,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Gulbadin Naib,1,0,,,,,,"",""
ball,1,10.1,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Mohammad Nabi,1,0,,,,,,"",""
ball,1,10.2,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Mohammad Nabi,1,0,,,,,,"",""
ball,1,10.3,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Mohammad Nabi,0,0,,,,,,"",""
ball,1,10.4,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Mohammad Nabi,1,0,,,,,,"",""
ball,1,10.5,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Mohammad Nabi,2,0,,,,,,"",""
ball,1,10.6,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Mohammad Nabi,1,0,,,,,,"",""
ball,1,11.1,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Amir Hamza,1,0,,,,,,"",""
ball,1,11.2,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Amir Hamza,1,0,,,,,,"",""
ball,1,11.3,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Amir Hamza,0,0,,,,,,"",""
ball,1,11.4,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Amir Hamza,1,0,,,,,,"",""
ball,1,11.5,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Amir Hamza,1,0,,,,,,"",""
ball,1,11.6,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Amir Hamza,1,0,,,,,,"",""
ball,1,12.1,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Rashid Khan,0,0,,,,,,"",""
ball,1,12.2,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Rashid Khan,6,0,,,,,,"",""
ball,1,12.3,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Rashid Khan,2,0,,,,,,"",""
ball,1,12.4,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Rashid Khan,2,0,,,,,,"",""
ball,1,12.5,United Arab Emirates,Rohan Mustafa,Shaiman Anwar,Rashid Khan,0,1,,,,1,,"",""
ball,1,12.6,United Arab Emirates,Shaiman Anwar,Rohan Mustafa,Rashid Khan,0,0,,,,,,caught,Shaiman Anwar
ball,1,13.1,United Arab Emirates,Amjad Javed,Rohan Mustafa,Amir Hamza,1,0,,,,,,"",""
ball,1,13.2,United Arab Emirates,Rohan Mustafa,Amjad Javed,Amir Hamza,0,0,,,,,,caught,Rohan Mustafa
ball,1,13.3,United Arab Emirates,Usman Mushtaq,Amjad Javed,Amir Hamza,1,0,,,,,,"",""
ball,1,13.4,United Arab Emirates,Amjad Javed,Usman Mushtaq,Amir Hamza,1,0,,,,,,"",""
ball,1,13.5,United Arab Emirates,Usman Mushtaq,Amjad Javed,Amir Hamza,0,0,,,,,,"",""
ball,1,13.6,United Arab Emirates,Usman Mushtaq,Amjad Javed,Amir Hamza,0,0,,,,,,"",""
ball,1,14.1,United Arab Emirates,Amjad Javed,Usman Mushtaq,Rashid Khan,1,0,,,,,,"",""
ball,1,14.2,United Arab Emirates,Usman Mushtaq,Amjad Javed,Rashid Khan,1,0,,,,,,"",""
ball,1,14.3,United Arab Emirates,Amjad Javed,Usman Mushtaq,Rashid Khan,1,0,,,,,,"",""
ball,1,14.4,United Arab Emirates,Usman Mushtaq,Amjad Javed,Rashid Khan,0,0,,,,,,"",""
ball,1,14.5,United Arab Emirates,Usman Mushtaq,Amjad Javed,Rashid Khan,1,0,,,,,,"",""
ball,1,14.6,United Arab Emirates,Amjad Javed,Usman Mushtaq,Rashid Khan,0,0,,,,,,lbw,Amjad Javed
ball,1,15.1,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Amir Hamza,1,0,,,,,,"",""
ball,1,15.2,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Amir Hamza,1,0,,,,,,"",""
ball,1,15.3,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Amir Hamza,1,0,,,,,,"",""
ball,1,15.4,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Amir Hamza,1,0,,,,,,"",""
ball,1,15.5,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Amir Hamza,0,0,,,,,,"",""
ball,1,15.6,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Amir Hamza,4,0,,,,,,"",""
ball,1,16.1,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Shapoor Zadran,2,0,,,,,,"",""
ball,1,16.2,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Shapoor Zadran,6,0,,,,,,"",""
ball,1,16.3,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Shapoor Zadran,1,0,,,,,,"",""
ball,1,16.4,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Shapoor Zadran,0,1,,,,1,,"",""
ball,1,16.5,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Shapoor Zadran,6,0,,,,,,"",""
ball,1,16.6,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Shapoor Zadran,0,0,,,,,,"",""
ball,1,17.1,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Dawlat Zadran,1,0,,,,,,"",""
ball,1,17.2,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Dawlat Zadran,0,1,,,1,,,"",""
ball,1,17.3,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Dawlat Zadran,4,0,,,,,,"",""
ball,1,17.4,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Dawlat Zadran,1,0,,,,,,"",""
ball,1,17.5,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Dawlat Zadran,1,0,,,,,,"",""
ball,1,17.6,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Dawlat Zadran,1,0,,,,,,"",""
ball,1,18.1,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Mohammad Nabi,1,0,,,,,,"",""
ball,1,18.2,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Mohammad Nabi,2,0,,,,,,"",""
ball,1,18.3,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Mohammad Nabi,2,0,,,,,,"",""
ball,1,18.4,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Mohammad Nabi,1,0,,,,,,"",""
ball,1,18.5,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Mohammad Nabi,4,0,,,,,,"",""
ball,1,18.6,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Mohammad Nabi,0,1,,,,1,,"",""
ball,1,19.1,United Arab Emirates,Usman Mushtaq,Mohammad Shahzad (2),Dawlat Zadran,1,0,,,,,,"",""
ball,1,19.2,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Dawlat Zadran,0,0,,,,,,"",""
ball,1,19.3,United Arab Emirates,Mohammad Shahzad (2),Usman Mushtaq,Dawlat Zadran,0,0,,,,,,"",""
